"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-18T17:06:51.2026542+00:00","1.2444","210.133","211.809","51","618","28","2066.793","893.039","18","1782.145","666.68","9","73.441","13.422"
"2","2026-07-18T17:06:52.2093660+00:00","0.5432","214.473","215.969","51","618","28","2070.176","895.773","18","1782.25","666.371","9","73.441","13.422"
"3","2026-07-18T17:06:53.2085688+00:00","0.0782","214.473","215.855","51","618","28","2067.254","893.781","18","1779.195","664.5","9","73.582","13.422"
"4","2026-07-18T17:06:54.2127045+00:00","0.5446","213.441","214.75","51","618","28","2062.16","887.602","18","1774.125","658.34","9","73.582","13.422"
"5","2026-07-18T17:06:55.2039363+00:00","0.1576","213.445","214.754","51","618","28","2059.879","885.074","18","1772.84","656.887","9","73.582","13.422"
"6","2026-07-18T17:06:56.2073949+00:00","1.4014","197.887","199.293","53","622","28","2045.281","870.645","18","1773.395","657.453","9","73.582","13.422"
"7","2026-07-18T17:06:57.2186298+00:00","0.309","201.238","202.754","52","620","28","2048.617","874.191","18","1773.797","658.016","9","73.582","13.422"
"8","2026-07-18T17:06:58.2105083+00:00","0.8664","201.098","202.48","53","620","28","2050.168","874.25","18","1775.527","658.387","9","73.582","13.422"
"9","2026-07-18T17:06:59.2159739+00:00","0.6216","200.879","201.883","51","618","28","2030.324","853.051","18","1755.863","637.746","9","73.582","13.422"
"10","2026-07-18T17:07:00.2074839+00:00","0.5516","200.723","201.746","50","616","28","2030.629","853.414","18","1756.297","638.246","9","73.582","13.422"
"11","2026-07-18T17:07:01.2130242+00:00","0.2331","200.762","201.73","50","616","28","2031.121","853.965","18","1756.703","638.809","9","73.582","13.422"
"12","2026-07-18T17:07:02.2196891+00:00","0.1552","199.668","200.492","50","616","28","2029.645","851.805","18","1756.395","637.891","9","73.582","13.422"
"13","2026-07-18T17:07:03.2076085+00:00","0.3163","199.379","200.199","50","616","28","2029.23","851.199","18","1756.27","637.578","9","73.582","13.422"
"14","2026-07-18T17:07:04.2030644+00:00","0.157","201.176","202.043","52","618","28","2029.984","851.988","18","1756.68","637.953","9","73.582","13.422"
"15","2026-07-18T17:07:05.2108404+00:00","1.0078","199.723","200.578","52","620","28","2030.383","852.516","18","1757.078","638.516","9","73.582","13.422"
"16","2026-07-18T17:07:06.2163485+00:00","0.1554","199.434","200.258","51","618","28","2030.562","852.508","18","1757.547","638.828","9","73.582","13.422"
"17","2026-07-18T17:07:07.2108415+00:00","0.6285","199.711","200.551","52","619","28","2031.258","853.051","18","1757.965","639.078","9","73.582","13.422"
"18","2026-07-18T17:07:08.2147348+00:00","0.0778","200.109","200.898","51","617","28","2031.383","853.266","18","1757.848","639.242","9","73.426","13.125"
"19","2026-07-18T17:07:09.2106745+00:00","0.0784","199.32","200.09","50","615","28","2025.738","847.84","18","1753.188","634.996","9","73.23","12.754"
"20","2026-07-18T17:07:10.2201801+00:00","0.0774","199.336","200.105","50","615","28","2025.652","847.418","18","1753.086","634.559","9","73.23","12.754"
"21","2026-07-18T17:07:11.2101946+00:00","0","199.289","200.059","50","615","28","2026.027","847.746","18","1753.508","634.934","9","73.23","12.754"
"22","2026-07-18T17:07:12.2139403+00:00","0.5448","199.289","200.059","50","615","28","2025.746","847.461","18","1753.227","634.648","9","73.23","12.754"
"23","2026-07-18T17:07:13.2208263+00:00","0.5431","199.562","200.375","52","619","28","2022.293","845.031","18","1749.496","631.898","9","73.23","12.754"
"24","2026-07-18T17:07:14.2123379+00:00","0.7091","199.617","200.449","53","621","28","2022.746","845.23","18","1749.895","632.023","9","73.23","12.754"
"25","2026-07-18T17:07:15.2062443+00:00","0.3144","199.312","200.09","51","617","28","2022.875","845.371","18","1750.328","632.523","9","73.23","12.754"
"26","2026-07-18T17:07:16.2132081+00:00","0.5431","199.598","200.391","52","619","28","2023.566","846.191","18","1750.738","633.047","9","73.23","12.754"
"27","2026-07-18T17:07:17.2075101+00:00","0.1571","199.289","200.062","51","617","28","2023.59","846.145","18","1751.051","633.309","9","73.23","12.754"
"28","2026-07-18T17:07:18.2051568+00:00","0.1566","199.281","200.031","50","615","28","2023.949","846.215","18","1751.438","633.43","9","73.23","12.754"
"29","2026-07-18T17:07:19.2160923+00:00","0.2318","199.293","200.043","50","615","28","2024.41","846.695","18","1751.887","633.898","9","73.23","12.754"
"30","2026-07-18T17:07:20.2039248+00:00","0.0791","199.277","200.027","50","615","28","2024.766","847.312","18","1752.242","634.516","9","73.23","12.754"
