"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-19T04:46:14.5521624+00:00","0.5406","225.09","255.148","72","707","49","3546.254","1468.109","32","3190.859","1189.23","16","130.281","23.707"
"2","2026-07-19T04:46:15.5439599+00:00","0.5514","215.074","245.133","72","707","49","3530.426","1452.461","32","3185.07","1183.621","16","130.281","23.707"
"3","2026-07-19T04:46:16.5523448+00:00","0.155","213.594","243.535","72","707","49","3527.133","1448.918","32","3182.273","1180.609","16","130.281","23.707"
"4","2026-07-19T04:46:17.5430531+00:00","0.7097","213.516","243.43","72","707","49","3514.637","1435.266","32","3170.754","1168.09","16","130.281","23.707"
"5","2026-07-19T04:46:18.5501984+00:00","0.7757","213.664","243.539","75","713","49","3515.578","1436.156","32","3171.617","1168.895","16","130.281","23.707"
"6","2026-07-19T04:46:19.5422868+00:00","0.7087","213.504","243.5","75","713","49","3516.367","1437.004","32","3172.484","1169.703","16","130.281","23.707"
"7","2026-07-19T04:46:20.5552200+00:00","0.4628","213.602","243.387","72","707","49","3516.477","1437.188","32","3172.473","1169.961","16","130.281","23.707"
"8","2026-07-19T04:46:21.5646584+00:00","0.9287","213.652","243.406","73","708","49","3512.406","1429.434","32","3168.336","1162.066","16","130.281","23.707"
"9","2026-07-19T04:46:22.5556675+00:00","0.473","216.836","246.539","71","704","49","3517.945","1434.164","32","3170.746","1163.828","16","130.281","23.707"
"10","2026-07-19T04:46:23.5464563+00:00","0.2366","215.82","245.445","71","704","49","3518.75","1435.035","32","3171.543","1164.641","16","130.281","23.707"
