"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-19T02:22:16.4260983+00:00","0.6205","213.156","212.832","51","616","28","2073.527","893.262","18","1786.836","667.027","9","73.535","13.402"
"2","2026-07-19T02:22:17.4233460+00:00","0.235","216.719","216.121","51","616","28","2074.727","895.219","18","1784.449","665.672","9","73.535","13.402"
"3","2026-07-19T02:22:18.4314455+00:00","0.465","197.445","196.871","51","616","28","2055.695","875.918","18","1784.645","665.609","9","73.535","13.402"
"4","2026-07-19T02:22:19.4279984+00:00","0.3136","197.383","196.711","51","616","28","2047.93","867.785","18","1776.973","657.633","9","73.535","13.402"
"5","2026-07-19T02:22:20.4275455+00:00","0.1563","197.422","196.77","52","618","28","2048.441","868.074","18","1777.48","657.898","9","73.535","13.402"
"6","2026-07-19T02:22:21.4325235+00:00","1.0106","197.898","197.352","53","620","28","2049.434","869.27","18","1777.965","658.48","9","73.535","13.402"
"7","2026-07-19T02:22:22.4383387+00:00","0.6214","201.227","200.727","53","620","28","2053.762","873.703","18","1778.988","659.562","9","73.535","13.402"
"8","2026-07-19T02:22:23.4351047+00:00","0.8622","201.086","200.504","52","618","28","2059.539","876.715","18","1784.863","662.754","9","73.535","13.402"
"9","2026-07-19T02:22:24.4439425+00:00","0.2323","200.82","200.098","51","615","28","2039.711","856.426","18","1765.328","642.898","9","73.535","13.402"
"10","2026-07-19T02:22:25.4270110+00:00","0.5563","200.582","199.914","50","613","28","2039.898","856.66","18","1765.773","643.336","9","73.535","13.402"
"11","2026-07-19T02:22:26.4243528+00:00","0.1567","200.422","199.672","50","613","28","2040.105","856.91","18","1766.148","643.836","9","73.535","13.402"
"12","2026-07-19T02:22:27.4253941+00:00","0.5463","200.605","199.934","50","613","28","2039.547","856.016","18","1765.391","642.664","9","73.535","13.402"
"13","2026-07-19T02:22:28.4348005+00:00","0","200.457","199.707","50","613","28","2039.633","855.695","18","1765.617","642.562","9","73.535","13.402"
"14","2026-07-19T02:22:29.4256045+00:00","0.7097","199.828","199.125","51","615","28","2040.293","856.562","18","1766.043","643.125","9","73.535","13.402"
"15","2026-07-19T02:22:30.4376378+00:00","0.1544","200.633","199.926","52","617","28","2041.004","857.301","18","1766.488","643.625","9","73.535","13.402"
"16","2026-07-19T02:22:31.4274640+00:00","0.7893","199.621","198.973","51","615","28","2040.965","857.266","18","1766.918","644","9","73.535","13.402"
"17","2026-07-19T02:22:32.4374768+00:00","0","199.625","198.836","52","616","28","2040.617","856.641","18","1767.312","644.25","9","73.535","13.402"
"18","2026-07-19T02:22:33.4321129+00:00","0.5498","202.867","202.652","52","616","28","2040.48","856.742","18","1766.594","643.812","9","73.305","12.957"
"19","2026-07-19T02:22:34.4211376+00:00","0.395","201.148","200.371","50","612","28","2029","845.605","18","1756.199","634.137","9","73.203","12.734"
"20","2026-07-19T02:22:35.4204782+00:00","0.2345","200.953","200.168","50","612","28","2028.977","845.176","18","1756.18","633.719","9","73.203","12.734"
"21","2026-07-19T02:22:36.4222589+00:00","0.3899","201.066","200.348","50","612","28","2030.828","847.156","18","1756.559","634.074","9","73.203","12.734"
"22","2026-07-19T02:22:37.4284461+00:00","0.1553","200.863","200.082","50","612","28","2030.469","846.68","18","1756.387","633.848","9","73.203","12.734"
"23","2026-07-19T02:22:38.4362223+00:00","0.3876","201.27","200.566","52","616","28","2024.316","841.207","18","1749.738","627.816","9","73.203","12.734"
"24","2026-07-19T02:22:39.4229507+00:00","0.2375","201.215","200.469","52","617","28","2024.543","841.34","18","1750.129","628.129","9","73.203","12.734"
"25","2026-07-19T02:22:40.4323268+00:00","0.9288","201.055","200.316","50","612","28","2024.859","841.621","18","1750.578","628.566","9","73.203","12.734"
"26","2026-07-19T02:22:41.4326151+00:00","0.5467","201.422","200.672","52","616","28","2025.637","842.496","18","1751.012","629.09","9","73.203","12.734"
"27","2026-07-19T02:22:42.4332009+00:00","0.937","201.211","200.492","50","612","28","2025.824","842.777","18","1751.41","629.551","9","73.203","12.734"
"28","2026-07-19T02:22:43.4403816+00:00","0","201.035","200.305","50","612","28","2026.055","842.828","18","1751.816","629.789","9","73.203","12.734"
"29","2026-07-19T02:22:44.4342040+00:00","0.7075","200.996","200.285","50","612","28","2026.461","843.16","18","1752.246","630.141","9","73.203","12.734"
"30","2026-07-19T02:22:45.4321190+00:00","0.3132","200.949","200.148","50","612","28","2026.719","843.656","18","1752.566","630.773","9","73.203","12.734"
"31","2026-07-19T02:22:46.4259548+00:00","0.5503","200.961","200.27","50","612","28","2027.219","844.184","18","1752.98","631.148","9","73.203","12.734"
"32","2026-07-19T02:22:47.4380329+00:00","0","201.152","200.371","52","616","28","2027.781","844.582","18","1753.41","631.461","9","73.203","12.734"
"33","2026-07-19T02:22:48.4355514+00:00","0","201.145","200.363","52","616","28","2028.195","844.996","18","1753.848","631.898","9","73.203","12.734"
"34","2026-07-19T02:22:49.4382970+00:00","0.7791","201.004","200.242","50","612","28","2028.441","845.379","18","1754.23","632.398","9","73.203","12.734"
"35","2026-07-19T02:22:50.4325281+00:00","0.7858","201.977","201.184","52","616","28","2029.113","845.98","18","1754.645","632.773","9","73.203","12.734"
"36","2026-07-19T02:22:51.4280400+00:00","0.7063","200.699","199.91","50","612","28","2029.258","846.086","18","1755.062","633.148","9","73.203","12.734"
"37","2026-07-19T02:22:52.4262932+00:00","0.4696","200.48","199.637","50","612","28","2029.582","846.34","18","1755.516","633.586","9","73.203","12.734"
"38","2026-07-19T02:22:53.4334733+00:00","0.4654","200.52","199.73","50","612","28","2029.637","846.551","18","1755.914","634.086","9","73.203","12.734"
"39","2026-07-19T02:22:54.4285382+00:00","0.314","200.742","199.898","50","612","28","2030.277","847.164","18","1756.324","634.523","9","73.203","12.734"
"40","2026-07-19T02:22:55.4224718+00:00","0.4716","200.902","200.059","50","612","28","2030.84","847.504","18","1756.734","634.711","9","73.203","12.734"
"41","2026-07-19T02:22:56.4327179+00:00","0.5413","201.199","200.398","52","616","28","2031.559","848.406","18","1757.156","635.273","9","73.203","12.734"
"42","2026-07-19T02:22:57.4295513+00:00","1.0972","199.918","199.156","52","616","28","2031.867","848.883","18","1757.559","635.773","9","73.203","12.734"
"43","2026-07-19T02:22:58.4271454+00:00","0.3133","199.621","198.699","50","612","28","2030.812","847.52","18","1757.988","636.086","9","73.203","12.734"
"44","2026-07-19T02:22:59.4254777+00:00","1.0173","199.887","199.137","52","616","28","2031.527","848.344","18","1758.426","636.461","9","73.203","12.734"
"45","2026-07-19T02:23:00.4320435+00:00","0.0776","200.465","199.621","50","612","28","2032.5","849.324","18","1758.824","636.961","9","73.203","12.734"
"46","2026-07-19T02:23:01.4373497+00:00","0.544","200.504","199.742","49","608","28","2032.973","849.875","18","1759.266","637.398","9","73.203","12.734"
"47","2026-07-19T02:23:02.4292778+00:00","0.1575","200.379","199.488","47","605","28","2033.246","849.938","18","1759.66","637.711","9","73.203","12.734"
"48","2026-07-19T02:23:03.4346300+00:00","0.1554","201.25","200.93","48","607","28","2035.199","852.098","18","1759.844","637.602","9","73.203","12.734"
"49","2026-07-19T02:23:04.4299469+00:00","0.471","199.555","198.582","47","605","28","2033.543","849.703","18","1759.957","637.484","9","73.203","12.734"
"50","2026-07-19T02:23:05.4362056+00:00","0.3882","199.605","198.672","49","609","28","2033.191","849.469","18","1760.375","638.047","9","73.203","12.734"
"51","2026-07-19T02:23:06.4297763+00:00","1.1795","199.605","198.672","49","609","28","2033.617","849.785","18","1760.777","638.363","9","73.203","12.734"
"52","2026-07-19T02:23:07.4224816+00:00","0.0787","201.082","200.18","47","605","28","2034.406","850.125","18","1760.773","637.793","9","73.203","12.734"
"53","2026-07-19T02:23:08.4352232+00:00","0.8486","201.316","200.48","49","609","28","2035.707","851.547","18","1761.184","638.355","9","73.203","12.734"
"54","2026-07-19T02:23:09.4287566+00:00","0.4718","201.141","200.246","47","605","28","2034.387","850.125","18","1761.609","638.793","9","73.203","12.734"
"55","2026-07-19T02:23:10.4390849+00:00","0.464","201.008","200.156","47","605","28","2034.84","850.324","18","1762.004","638.918","9","73.203","12.734"
"56","2026-07-19T02:23:11.4313213+00:00","0.2362","201.004","200.121","47","605","28","2035.168","850.773","18","1762.422","639.48","9","73.203","12.734"
