"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-19T04:44:58.8353413+00:00","0.4659","212.223","213.52","51","616","28","2062.91","889.801","18","1777.211","662.816","9","73.387","13.379"
"2","2026-07-19T04:44:59.8381596+00:00","0.2337","215.5","216.555","51","616","28","2066.941","893.293","18","1778.055","663.359","9","73.387","13.379"
"3","2026-07-19T04:45:00.8423896+00:00","0.6224","196.008","197.18","51","616","28","2047.699","873.727","18","1778.305","663.168","9","73.387","13.379"
"4","2026-07-19T04:45:01.8342082+00:00","0.3938","196.09","197.07","51","616","28","2040.238","867.562","18","1770.758","657.109","9","73.387","13.379"
"5","2026-07-19T04:45:02.8428605+00:00","0.4647","195.121","196.059","51","616","28","2041.031","868.238","18","1771.254","657.484","9","73.387","13.379"
"6","2026-07-19T04:45:03.8322104+00:00","0.7107","194.938","195.906","53","620","28","2039.957","867.09","18","1771.625","657.797","9","73.387","13.379"
"7","2026-07-19T04:45:04.8325318+00:00","0.3905","198.52","199.543","53","620","28","2044.008","871.242","18","1772.086","658.297","9","73.387","13.379"
"8","2026-07-19T04:45:05.8406083+00:00","0.2325","200.461","201.5","53","620","28","2053.383","876.844","18","1779.535","661.965","9","73.387","13.379"
"9","2026-07-19T04:45:06.8361056+00:00","0.7848","199.625","200.578","52","618","28","2040.508","862.445","18","1767.484","648.398","9","73.387","13.379"
"10","2026-07-19T04:45:07.8314857+00:00","0.7064","199.914","200.844","50","613","28","2041.246","863.043","18","1767.898","648.773","9","73.387","13.379"
