"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-19T02:18:50.8204774+00:00","0.3077","213.828","213.539","51","618","28","2061.781","887.344","18","1774.371","660.344","9","73.574","13.453"
"2","2026-07-19T02:18:51.8165169+00:00","0.3922","217.926","217.586","51","618","28","2066.73","891.902","18","1775.223","660.855","9","73.574","13.453"
"3","2026-07-19T02:18:52.8091661+00:00","0.4722","198.938","198.57","51","618","28","2047.973","872.82","18","1775.461","660.797","9","73.574","13.453"
"4","2026-07-19T02:18:53.8171467+00:00","0.155","197.133","196.43","51","618","28","2039.676","864.242","18","1767.863","653.184","9","73.574","13.453"
"5","2026-07-19T02:18:54.8242218+00:00","0.4655","197.16","196.566","51","618","28","2039.031","863.336","18","1768.297","653.316","9","73.574","13.453"
"6","2026-07-19T02:18:55.8158524+00:00","0.7091","197.188","196.512","52","620","28","2039.496","864.152","18","1768.734","654.188","9","73.574","13.453"
"7","2026-07-19T02:18:56.8084774+00:00","0.5509","202.566","202.133","52","620","28","2043.543","868.441","18","1769.156","654.75","9","73.574","13.453"
"8","2026-07-19T02:18:57.8255531+00:00","0.4609","202.195","201.598","52","620","28","2050.711","873.273","18","1776.723","660.098","9","73.574","13.453"
"9","2026-07-19T02:18:58.8290259+00:00","0.9343","201.973","201.285","51","617","28","2049.332","869.668","18","1773.742","654.742","9","73.574","13.453"
"10","2026-07-19T02:18:59.8203332+00:00","0.4729","201.902","201.223","50","615","28","2049.684","869.871","18","1774.191","655.18","9","73.574","13.453"
"11","2026-07-19T02:19:00.8286659+00:00","0.0775","201.664","200.957","50","615","28","2049.844","870.152","18","1774.605","655.742","9","73.574","13.453"
"12","2026-07-19T02:19:01.8205082+00:00","0.5514","201.902","201.215","50","615","28","2049.129","869.23","18","1773.645","654.555","9","73.574","13.453"
"13","2026-07-19T02:19:02.8210210+00:00","0.2343","201.691","200.984","50","615","28","2049.168","868.891","18","1773.902","654.453","9","73.574","13.453"
"14","2026-07-19T02:19:03.8144010+00:00","0.3932","202.32","201.676","51","617","28","2050.238","870.145","18","1774.344","655.016","9","73.574","13.453"
"15","2026-07-19T02:19:04.8172895+00:00","0.1558","202.156","201.492","52","619","28","2050.484","870.531","18","1774.746","655.578","9","73.574","13.453"
"16","2026-07-19T02:19:05.8113619+00:00","0.5501","201.836","201.188","50","615","28","2050.562","870.531","18","1775.152","655.891","9","73.574","13.453"
"17","2026-07-19T02:19:06.8144246+00:00","0.2337","201.879","201.184","51","616","28","2051.066","870.848","18","1775.605","656.203","9","73.574","13.453"
"18","2026-07-19T02:19:07.8114034+00:00","0.4702","203.914","203.617","51","616","28","2050.754","871.047","18","1773.492","654.418","9","73.348","13.012"
"19","2026-07-19T02:19:08.8198445+00:00","0.0775","201.637","200.949","50","614","28","2036.43","856.605","18","1761.555","642.867","9","73.238","12.789"
"20","2026-07-19T02:19:09.8172119+00:00","0.47","201.812","201.105","50","614","28","2036.488","856.441","18","1761.438","642.547","9","73.238","12.789"
"21","2026-07-19T02:19:10.8172286+00:00","0.2344","201.629","200.891","50","614","28","2036.738","856.484","18","1761.863","642.797","9","73.238","12.789"
"22","2026-07-19T02:19:11.8064383+00:00","0.8687","201.992","201.34","50","614","28","2033.426","853.301","18","1758.191","639.168","9","73.238","12.789"
"23","2026-07-19T02:19:12.8192272+00:00","0.4628","201.848","201.148","52","616","28","2023.52","846.715","18","1748.309","632.652","9","73.238","12.789"
"24","2026-07-19T02:19:13.8108781+00:00","0.6303","202.109","201.535","52","618","28","2024.055","847.133","18","1748.734","632.84","9","73.238","12.789"
"25","2026-07-19T02:19:14.8131121+00:00","0.7795","201.734","201.02","50","614","28","2024.145","847.023","18","1749.172","633.215","9","73.238","12.789"
"26","2026-07-19T02:19:15.8101167+00:00","0.1567","201.691","200.953","51","616","28","2024.527","847.559","18","1749.559","633.777","9","73.238","12.789"
"27","2026-07-19T02:19:16.8156946+00:00","1.0877","201.621","200.883","50","614","28","2025.055","848.113","18","1750.031","634.277","9","73.238","12.789"
"28","2026-07-19T02:19:17.8101868+00:00","0.0786","201.805","201.039","50","614","28","2025.496","848.34","18","1750.453","634.512","9","73.238","12.789"
"29","2026-07-19T02:19:18.8205346+00:00","0.4639","201.578","200.852","50","614","28","2025.695","848.516","18","1750.879","634.875","9","73.238","12.789"
"30","2026-07-19T02:19:19.8291973+00:00","0.2324","201.617","200.855","50","614","28","2026.211","849.195","18","1751.309","635.504","9","73.238","12.789"
