"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","PowerShellCount","PowerShellWorkingSetMiB"
"1","2026-07-18T10:53:03.2512054+00:00","0.4684","231.289","259.551","72","711","49","3644.812","32","3282.512"
"2","2026-07-18T10:53:04.6033467+00:00","0.6933","212.324","240.398","72","711","49","3621.551","32","3278.215"
"3","2026-07-18T10:53:05.9237758+00:00","0.2958","211.914","239.945","74","715","49","3604.223","32","3261.305"
"4","2026-07-18T10:53:07.1486132+00:00","1.5946","210.551","238.562","76","719","49","3592.508","32","3250.914"
"5","2026-07-18T10:53:08.3745942+00:00","0.8284","210.391","238.277","72","711","49","3591.641","32","3250.246"
"6","2026-07-18T10:53:09.5868312+00:00","1.3534","210.539","238.445","74","714","49","3590.91","32","3249.605"
"7","2026-07-18T10:53:10.7868905+00:00","0.3255","213.516","241.34","71","708","49","3604.922","32","3260.402"
"8","2026-07-18T10:53:11.9850700+00:00","0.1304","213.492","241.316","71","708","49","3615.746","32","3271.25"
"9","2026-07-18T10:53:13.1661882+00:00","0.1323","213.512","241.336","71","708","49","3616.473","32","3271.957"
"10","2026-07-18T10:53:14.3774269+00:00","0.129","213.547","241.371","71","708","49","3616.52","32","3271.969"
"11","2026-07-18T10:53:15.5846264+00:00","0.906","213.836","241.734","74","714","49","3617.02","32","3272.18"
"12","2026-07-18T10:53:16.7960427+00:00","0.9029","213.523","241.43","74","714","49","3617.504","32","3272.977"
"13","2026-07-18T10:53:17.9872594+00:00","0.5247","213.609","241.441","72","709","49","3618.492","32","3273.879"
"14","2026-07-18T10:53:19.1803396+00:00","0.5893","213.551","241.336","71","707","49","3611.234","32","3267.09"
"15","2026-07-18T10:53:20.3749225+00:00","0.1308","213.543","241.328","71","707","49","3582.117","32","3238.066"
"16","2026-07-18T10:53:21.5655045+00:00","0.1969","213.543","241.328","71","707","49","3581.445","32","3237.395"
"17","2026-07-18T10:53:22.7606263+00:00","0.1961","213.441","241.219","71","707","49","3581.844","32","3237.863"
"18","2026-07-18T10:53:23.9728025+00:00","0.3867","213.613","241.426","72","709","49","3579.25","32","3234.375"
"19","2026-07-18T10:53:25.1780196+00:00","1.2964","213.773","241.633","74","713","49","3579.266","32","3234.977"
"20","2026-07-18T10:53:26.3738680+00:00","0.6533","213.574","241.328","71","707","49","3575.43","32","3231.336"
"21","2026-07-18T10:53:27.5748282+00:00","1.1709","213.914","241.75","74","713","49","3576.695","32","3232.27"
"22","2026-07-18T10:53:28.7675954+00:00","0.1965","213.637","241.383","71","707","49","3577.277","32","3233.133"
"23","2026-07-18T10:53:29.9631761+00:00","0.1307","213.52","241.266","71","707","49","3577.988","32","3233.957"
"24","2026-07-18T10:53:31.1694634+00:00","0.0648","213.539","241.285","71","707","49","3578.879","32","3234.82"
"25","2026-07-18T10:53:32.3653359+00:00","0.1307","213.574","241.32","71","707","49","3579.793","32","3235.707"
"26","2026-07-18T10:53:33.5606154+00:00","1.1765","213.906","241.727","74","713","49","3581.027","32","3236.609"
"27","2026-07-18T10:53:34.7371040+00:00","0.9961","213.859","241.68","74","713","49","3581.824","32","3237.453"
"28","2026-07-18T10:53:35.9307430+00:00","0.4582","213.73","241.496","72","709","49","3582.586","32","3238.363"
"29","2026-07-18T10:53:37.1174272+00:00","0.79","213.555","241.293","71","707","49","3583.27","32","3239.207"
"30","2026-07-18T10:53:38.3240793+00:00","0.3237","213.566","241.305","71","707","49","3584.184","32","3240.109"
