"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-18T17:08:26.8008004+00:00","0.232","224.387","254.711","72","709","49","3541.043","1465.703","32","3186.219","1187.227","16","130.402","23.734"
"2","2026-07-18T17:08:27.7945864+00:00","0.5503","212.805","242.996","72","709","49","3527.199","1451.793","32","3183.309","1184.305","16","130.402","23.734"
"3","2026-07-18T17:08:28.8051650+00:00","0.3092","213.309","243.562","72","709","49","3525.289","1450.414","32","3181.27","1182.809","16","130.402","23.734"
"4","2026-07-18T17:08:29.8023950+00:00","0.6267","212.188","242.246","72","709","49","3513.355","1437.527","32","3170.445","1171.223","16","130.402","23.734"
"5","2026-07-18T17:08:30.8058853+00:00","1.0121","212.254","242.336","74","713","49","3514.156","1438.355","32","3171.352","1172.137","16","130.402","23.734"
"6","2026-07-18T17:08:31.8063327+00:00","1.5618","211.48","241.582","75","715","49","3514.98","1439.137","32","3172.09","1172.762","16","130.402","23.734"
"7","2026-07-18T17:08:32.8038930+00:00","0.3916","211.285","241.258","73","711","49","3514.34","1437.395","32","3171.672","1171.348","16","130.402","23.734"
"8","2026-07-18T17:08:33.8085615+00:00","0.8554","212.355","242.469","74","712","49","3513.152","1434.391","32","3170.188","1168.016","16","130.402","23.734"
"9","2026-07-18T17:08:34.7986344+00:00","0.4734","215.453","245.41","71","706","49","3517.695","1437.859","32","3171.621","1168.496","16","130.402","23.734"
"10","2026-07-18T17:08:35.8064115+00:00","0.2326","215.465","245.41","71","706","49","3518.402","1438.707","32","3172.348","1169.309","16","130.402","23.734"
"11","2026-07-18T17:08:36.8001419+00:00","0.6289","214.434","244.305","71","706","49","3518.641","1438.84","32","3172.715","1169.633","16","130.402","23.734"
"12","2026-07-18T17:08:37.8028764+00:00","0.3896","214.406","244.273","71","706","49","3516.742","1436.141","32","3170.93","1167.016","16","130.402","23.734"
"13","2026-07-18T17:08:38.8112700+00:00","0.3874","214.523","244.418","72","708","49","3517.488","1436.707","32","3171.641","1167.562","16","130.402","23.734"
"14","2026-07-18T17:08:39.8023670+00:00","1.3401","215.898","245.934","74","712","49","3518.34","1437.75","32","3172.324","1168.375","16","130.402","23.734"
"15","2026-07-18T17:08:40.8003265+00:00","0.9394","215.945","245.992","74","712","49","3518.008","1437.32","32","3173.094","1169.125","16","130.402","23.734"
"16","2026-07-18T17:08:41.7960618+00:00","0.3923","215.902","245.863","72","707","49","3518.945","1438.066","32","3173.844","1169.688","16","130.402","23.734"
"17","2026-07-18T17:08:42.8028100+00:00","1.2416","216.742","246.75","74","711","49","3517.613","1436.215","32","3172.77","1168.316","16","130.184","23.289"
"18","2026-07-18T17:08:43.7999479+00:00","0.1567","216.156","246.086","71","705","49","3488.543","1408.156","32","3144.145","1141.141","16","129.871","22.66"
"19","2026-07-18T17:08:44.8082823+00:00","0.5424","215.879","245.82","71","705","49","3488.172","1407.227","32","3143.77","1140.207","16","129.871","22.66"
"20","2026-07-18T17:08:45.8009887+00:00","0.1574","215.773","245.68","71","705","49","3488.184","1407.027","32","3143.879","1140.117","16","129.871","22.66"
"21","2026-07-18T17:08:46.8151669+00:00","0.5392","215.773","245.711","71","705","49","3489.703","1408.582","32","3144.375","1140.559","16","129.871","22.66"
"22","2026-07-18T17:08:47.8106016+00:00","0.2354","215.824","245.75","72","707","49","3480.777","1400.98","32","3136.402","1133.918","16","129.871","22.66"
"23","2026-07-18T17:08:48.7926551+00:00","2.1479","215.918","245.969","74","711","49","3482.672","1402.828","32","3136.809","1134.148","16","129.871","22.66"
"24","2026-07-18T17:08:49.7991105+00:00","1.1644","215.914","245.895","74","711","49","3483.246","1403.188","32","3137.473","1134.711","16","129.871","22.66"
"25","2026-07-18T17:08:50.7965488+00:00","0.3916","215.914","245.98","74","710","49","3484.254","1404.352","32","3138.32","1135.586","16","129.871","22.66"
"26","2026-07-18T17:08:51.8038104+00:00","1.241","216.062","246.09","74","711","49","3484.93","1404.969","32","3139.016","1136.297","16","129.871","22.66"
"27","2026-07-18T17:08:52.8065839+00:00","0.1558","215.684","245.57","71","705","49","3485.383","1405.52","32","3139.781","1137.16","16","129.871","22.66"
"28","2026-07-18T17:08:53.8000274+00:00","0.4718","215.77","245.656","71","705","49","3486.227","1406.031","32","3140.57","1137.699","16","129.871","22.66"
"29","2026-07-18T17:08:54.7974729+00:00","0.1567","215.699","245.586","71","705","49","3486.785","1406.754","32","3141.199","1138.492","16","129.871","22.66"
"30","2026-07-18T17:08:55.8006861+00:00","0.5451","215.738","245.652","71","705","49","3487.57","1407.73","32","3141.891","1139.359","16","129.871","22.66"
