"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-19T07:07:07.3304721+00:00","0.3065","183.301","154.633","25","484","4","382.516","226.441","2","191.008","70.285","1","8.207","1.523"
"2","2026-07-19T07:07:08.3163031+00:00","0.1585","166.324","137.613","25","484","4","365.602","209.422","2","191.07","70.285","1","8.207","1.523"
"3","2026-07-19T07:07:09.3239560+00:00","0.2326","166.336","137.625","25","484","4","365.684","209.496","2","191.141","70.348","1","8.207","1.523"
"4","2026-07-19T07:07:10.3261895+00:00","0.2339","166.324","137.613","25","484","4","364.734","208.906","2","190.203","69.77","1","8.207","1.523"
"5","2026-07-19T07:07:11.3293306+00:00","0.1558","166.328","137.613","25","484","4","364.797","208.973","2","190.262","69.836","1","8.207","1.523"
"6","2026-07-19T07:07:12.3191661+00:00","0.2368","166.324","137.609","25","484","4","364.852","208.98","2","190.32","69.848","1","8.207","1.523"
"7","2026-07-19T07:07:13.3239798+00:00","0.3888","166.34","137.621","25","484","4","364.914","209.055","2","190.367","69.91","1","8.207","1.523"
"8","2026-07-19T07:07:14.3256642+00:00","0.312","166.336","137.613","25","484","4","364.961","209.109","2","190.418","69.973","1","8.207","1.523"
"9","2026-07-19T07:07:15.3271262+00:00","0.3901","166.34","137.617","25","484","4","362.844","206.602","2","187.359","66.496","1","8.207","1.523"
"10","2026-07-19T07:07:16.3157542+00:00","0.158","166.344","137.617","25","484","4","361.969","205.637","2","187.418","66.496","1","8.207","1.523"
"11","2026-07-19T07:07:17.3251401+00:00","0.0774","166.34","137.613","25","484","4","362.012","205.695","2","187.465","66.559","1","8.207","1.523"
"12","2026-07-19T07:07:18.3291417+00:00","0","166.34","137.613","25","484","4","361.906","205.496","2","187.359","66.359","1","8.207","1.523"
"13","2026-07-19T07:07:19.3285293+00:00","0","166.348","137.613","25","484","4","361.922","205.457","2","187.367","66.32","1","8.207","1.523"
"14","2026-07-19T07:07:20.3161611+00:00","0.0791","166.352","137.617","25","484","4","361.98","205.523","2","187.422","66.383","1","8.207","1.523"
"15","2026-07-19T07:07:21.3155194+00:00","0.2345","166.344","137.617","25","484","4","362.027","205.586","2","187.477","66.445","1","8.207","1.523"
"16","2026-07-19T07:07:22.3154818+00:00","0.3125","166.484","137.77","26","486","4","362.215","205.801","2","187.523","66.508","1","8.207","1.523"
"17","2026-07-19T07:07:23.3222788+00:00","0.0776","166.355","137.613","25","484","4","362.129","205.707","2","187.566","66.57","1","8.207","1.523"
"18","2026-07-19T07:07:24.3264231+00:00","0.0778","166.473","137.746","26","485","4","362.289","205.84","2","187.609","66.57","1","8.207","1.523"
"19","2026-07-19T07:07:25.3291768+00:00","0.0779","166.406","137.668","26","485","4","361.742","205.355","2","187.168","66.238","1","8.168","1.449"
"20","2026-07-19T07:07:26.3200760+00:00","0.3942","166.367","137.602","25","483","4","361.52","205.09","2","186.984","66.039","1","8.168","1.449"
"21","2026-07-19T07:07:27.3272116+00:00","0.1551","166.367","137.602","25","483","4","361.562","205.09","2","187.027","66.039","1","8.168","1.449"
"22","2026-07-19T07:07:28.3204354+00:00","0.0787","166.367","137.602","25","483","4","361.617","205.152","2","187.082","66.102","1","8.168","1.449"
"23","2026-07-19T07:07:29.3257599+00:00","0.2331","166.363","137.59","25","483","4","361.488","204.977","2","186.953","65.926","1","8.168","1.449"
"24","2026-07-19T07:07:30.3210446+00:00","0.3925","166.504","137.758","26","485","4","361.668","205.195","2","186.996","65.988","1","8.168","1.449"
"25","2026-07-19T07:07:31.3225527+00:00","0.234","166.512","137.762","26","485","4","361.73","205.199","2","187.051","65.988","1","8.168","1.449"
"26","2026-07-19T07:07:32.3162858+00:00","0.0786","166.387","137.617","25","483","4","361.656","205.117","2","187.102","66.051","1","8.168","1.449"
"27","2026-07-19T07:07:33.3177316+00:00","0.234","166.52","137.77","26","485","4","361.836","205.332","2","187.148","66.113","1","8.168","1.449"
"28","2026-07-19T07:07:34.3188115+00:00","0.1561","166.387","137.613","25","483","4","361.75","205.238","2","187.195","66.176","1","8.168","1.449"
"29","2026-07-19T07:07:35.3211572+00:00","0.2338","166.391","137.617","25","483","4","361.793","205.242","2","187.234","66.176","1","8.168","1.449"
"30","2026-07-19T07:07:36.3230703+00:00","0.078","166.387","137.613","25","483","4","361.84","205.301","2","187.285","66.238","1","8.168","1.449"
