"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","PowerShellCount","PowerShellWorkingSetMiB"
"1","2026-07-18T10:51:03.4614791+00:00","0.623","213.773","214.801","51","617","28","2099.75","18","1812.168"
"2","2026-07-18T10:51:04.6522195+00:00","0.1312","212.984","213.98","51","617","28","2094.906","18","1808.109"
"3","2026-07-18T10:51:05.8457217+00:00","0.3928","194.754","195.531","51","617","28","2072.762","18","1804.199"
"4","2026-07-18T10:51:06.9797992+00:00","0.4133","194.762","195.539","51","617","28","2066.004","18","1797.484"
"5","2026-07-18T10:51:08.1019171+00:00","0.8355","194.035","194.859","53","621","28","2065.945","18","1798.102"
"6","2026-07-18T10:51:09.2369162+00:00","0.5507","197.266","198.098","53","621","28","2069.734","18","1798.664"
"7","2026-07-18T10:51:10.3508581+00:00","0.4909","197.402","198.188","52","619","28","2064.82","18","1793.609"
"8","2026-07-18T10:51:11.4817585+00:00","0.7599","197.203","197.906","50","614","28","2051.027","18","1780.008"
"9","2026-07-18T10:51:12.5977267+00:00","0.14","197.215","197.918","50","614","28","2051.512","18","1780.488"
"10","2026-07-18T10:51:13.7160608+00:00","0.2794","197.211","197.914","50","614","28","2051.996","18","1780.961"
"11","2026-07-18T10:51:14.8310919+00:00","0","197.297","198","50","614","28","2051.305","18","1780.184"
"12","2026-07-18T10:51:15.9629016+00:00","0.3451","197.34","198.043","50","614","28","2051.73","18","1780.559"
"13","2026-07-18T10:51:17.0953345+00:00","0.5519","197.648","198.395","52","618","28","2052.109","18","1781.043"
"14","2026-07-18T10:51:18.2106791+00:00","0.2802","197.188","197.883","50","614","28","2052.5","18","1781.5"
"15","2026-07-18T10:51:19.3125443+00:00","0.0709","197.273","197.988","51","615","28","2053.082","18","1781.992"
"16","2026-07-18T10:51:20.4330416+00:00","0.6275","197.781","198.48","51","615","28","2052.797","18","1781.457"
"17","2026-07-18T10:51:21.5536527+00:00","0.1394","197.176","197.855","50","613","28","2040.527","18","1769.875"
"18","2026-07-18T10:51:22.6980570+00:00","0.2048","197.195","197.875","50","613","28","2040.855","18","1770.188"
"19","2026-07-18T10:51:23.8205739+00:00","0.1392","197.199","197.879","50","613","28","2040.945","18","1770.273"
"20","2026-07-18T10:51:24.9361978+00:00","0.2101","197.203","197.883","50","613","28","2037.754","18","1766.957"
"21","2026-07-18T10:51:26.0649166+00:00","1.0382","197.199","197.93","52","617","28","2031.133","18","1760.344"
"22","2026-07-18T10:51:27.1827267+00:00","0.6989","197.18","197.855","50","613","28","2031.461","18","1760.797"
"23","2026-07-18T10:51:28.3136594+00:00","0.4145","197.324","198.016","51","615","28","2032.102","18","1761.301"
"24","2026-07-18T10:51:29.4248162+00:00","0.4922","197.195","197.863","50","613","28","2032.375","18","1761.707"
"25","2026-07-18T10:51:30.5447913+00:00","0.4883","197.195","197.863","50","613","28","2032.852","18","1762.18"
"26","2026-07-18T10:51:31.6465874+00:00","0.2127","197.199","197.867","50","613","28","2033.312","18","1762.641"
"27","2026-07-18T10:51:32.7683338+00:00","0.0696","197.195","197.863","50","613","28","2033.805","18","1763.137"
"28","2026-07-18T10:51:33.8860135+00:00","0.5592","197.191","197.859","50","613","28","2034.938","18","1763.551"
"29","2026-07-18T10:51:34.9982481+00:00","1.3346","197.492","198.203","52","615","28","2035.059","18","1764.031"
"30","2026-07-18T10:51:36.1169428+00:00","0.5587","197.457","198.109","50","613","28","2035.152","18","1764.496"
