"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-18T17:05:17.3941013+00:00","0.3076","183.891","153.766","27","512","4","391.02","228.262","2","198.941","72.98","1","8.188","1.516"
"2","2026-07-18T17:05:18.3874557+00:00","0.2359","187.219","157.094","27","512","4","394.461","231.695","2","199.055","73.086","1","8.188","1.516"
"3","2026-07-18T17:05:19.3954345+00:00","0.155","187.148","157.023","27","512","4","394.488","231.691","2","199.152","73.152","1","8.188","1.516"
"4","2026-07-18T17:05:20.3856028+00:00","0.0789","167.426","137.043","27","512","4","373.891","210.77","2","198.277","72.211","1","8.188","1.516"
"5","2026-07-18T17:05:21.3938084+00:00","0.155","167.426","137.043","27","512","4","373.949","210.832","2","198.336","72.273","1","8.188","1.516"
"6","2026-07-18T17:05:22.3861680+00:00","0","167.48","137.117","28","514","4","374.043","210.969","2","198.375","72.336","1","8.188","1.516"
"7","2026-07-18T17:05:23.3930425+00:00","0.3104","167.449","137.09","28","514","4","374.055","211.004","2","198.418","72.398","1","8.188","1.516"
"8","2026-07-18T17:05:24.3845338+00:00","0.394","167.434","137.043","27","512","4","375.266","212.098","2","199.645","73.539","1","8.188","1.516"
"9","2026-07-18T17:05:25.3893950+00:00","0","167.449","137.086","28","514","4","375.574","212.102","2","199.938","73.5","1","8.188","1.516"
"10","2026-07-18T17:05:26.3896369+00:00","0.0781","167.441","136.973","26","509","4","375.598","212.051","2","199.969","73.562","1","8.188","1.516"
"11","2026-07-18T17:05:27.3884772+00:00","0.0782","167.441","136.973","26","509","4","375.648","212.113","2","200.02","73.625","1","8.188","1.516"
"12","2026-07-18T17:05:28.3946534+00:00","0","167.461","136.969","26","509","4","375.625","211.93","2","199.977","73.445","1","8.188","1.516"
"13","2026-07-18T17:05:29.3937044+00:00","0.1564","167.461","136.969","26","509","4","375.672","211.992","2","200.023","73.508","1","8.188","1.516"
"14","2026-07-18T17:05:30.3806486+00:00","0.1583","167.465","136.973","26","509","4","375.703","212.02","2","200.051","73.531","1","8.188","1.516"
"15","2026-07-18T17:05:31.3991913+00:00","0.0767","167.484","137.02","27","511","4","375.766","212.129","2","200.094","73.594","1","8.188","1.516"
"16","2026-07-18T17:05:32.3898380+00:00","0.0789","167.48","137.012","27","511","4","375.812","212.121","2","200.145","73.594","1","8.188","1.516"
"17","2026-07-18T17:05:33.3924349+00:00","0.1558","167.469","136.957","26","509","4","375.852","212.141","2","200.191","73.656","1","8.188","1.516"
"18","2026-07-18T17:05:34.3885610+00:00","0.1569","167.469","136.988","27","510","4","375.895","212.223","2","200.238","73.719","1","8.188","1.516"
"19","2026-07-18T17:05:35.3807944+00:00","0.1575","167.512","137.004","27","510","4","375.461","211.832","2","199.801","73.387","1","8.148","1.441"
"20","2026-07-18T17:05:36.3879298+00:00","0.0776","167.488","136.938","26","508","4","370.91","207.258","2","195.273","68.879","1","8.148","1.441"
"21","2026-07-18T17:05:37.3920285+00:00","0","167.488","136.938","26","508","4","370.949","207.32","2","195.312","68.941","1","8.148","1.441"
"22","2026-07-18T17:05:38.3843713+00:00","0","167.504","136.961","26","508","4","371.016","207.406","2","195.363","69.004","1","8.148","1.441"
"23","2026-07-18T17:05:39.3910013+00:00","0.1552","167.5","136.957","26","508","4","370.867","207.141","2","195.23","68.762","1","8.148","1.441"
"24","2026-07-18T17:05:40.3883469+00:00","0.1567","167.594","137.07","27","510","4","371.004","207.297","2","195.262","68.785","1","8.148","1.441"
"25","2026-07-18T17:05:41.3948706+00:00","0.2329","167.574","137.023","26","508","4","371.031","207.312","2","195.309","68.848","1","8.148","1.441"
"26","2026-07-18T17:05:42.3951192+00:00","0.2343","167.504","136.961","26","508","4","371.016","207.312","2","195.363","68.91","1","8.148","1.441"
"27","2026-07-18T17:05:43.3854745+00:00","0.1578","167.574","137.023","26","508","4","371.117","207.375","2","195.395","68.91","1","8.148","1.441"
"28","2026-07-18T17:05:44.3896493+00:00","0.1556","167.504","136.961","26","508","4","371.098","207.375","2","195.445","68.973","1","8.148","1.441"
"29","2026-07-18T17:05:45.3902191+00:00","0.1562","167.504","136.961","26","508","4","371.152","207.434","2","195.5","69.031","1","8.148","1.441"
"30","2026-07-18T17:05:46.3829242+00:00","0.1574","167.504","136.961","26","508","4","371.199","207.504","2","195.547","69.102","1","8.148","1.441"
