"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-19T07:08:47.3182217+00:00","1.1579","197.508","197.066","53","621","28","1976.988","836.105","18","1706.02","625.617","9","73.461","13.422"
"2","2026-07-19T07:08:48.3260966+00:00","0.0775","197.461","196.938","50","615","28","1978.051","837.051","18","1707.125","626.688","9","73.461","13.422"
"3","2026-07-19T07:08:49.3170977+00:00","1.0248","197.969","197.52","52","619","28","1979.168","836.156","18","1707.738","625.215","9","73.461","13.422"
"4","2026-07-19T07:08:50.3193304+00:00","0.3118","197.66","197.137","50","615","28","1980.496","836.801","18","1709.375","626.242","9","73.461","13.422"
"5","2026-07-19T07:08:51.3196049+00:00","0.4686","197.656","197.141","50","615","28","1980.902","837.242","18","1709.785","626.68","9","73.461","13.422"
"6","2026-07-19T07:08:52.3185820+00:00","0.2346","200.973","200.449","50","615","28","1984.484","840.746","18","1710.051","626.875","9","73.461","13.422"
"7","2026-07-19T07:08:53.3276245+00:00","0.2323","201.02","200.496","50","615","28","1982.922","838.68","18","1708.441","624.762","9","73.461","13.422"
"8","2026-07-19T07:08:54.3301166+00:00","0.3897","200.98","200.457","50","615","28","1983.266","838.844","18","1708.816","624.957","9","73.461","13.422"
"9","2026-07-19T07:08:55.3244092+00:00","0.7857","201.305","200.848","52","619","28","1984.008","839.727","18","1709.242","625.457","9","73.461","13.422"
"10","2026-07-19T07:08:56.3178192+00:00","1.0224","201.34","200.867","52","619","28","1984.461","840.195","18","1709.648","625.895","9","73.461","13.422"
"11","2026-07-19T07:08:57.3217488+00:00","0.1556","200.945","200.414","50","616","28","1984.473","840.043","18","1710.066","626.207","9","73.461","13.422"
"12","2026-07-19T07:08:58.3130550+00:00","0.8669","201.266","200.801","52","620","28","1985.371","841.07","18","1710.504","626.707","9","73.422","13.348"
"13","2026-07-19T07:08:59.3168366+00:00","0.2335","200.961","200.41","50","616","28","1979.758","835.609","18","1705.645","622.41","9","73.152","12.789"
"14","2026-07-19T07:09:00.3203181+00:00","0.1557","200.934","200.383","50","616","28","1973.734","830.289","18","1699.648","617.117","9","73.152","12.789"
"15","2026-07-19T07:09:01.3178980+00:00","0.3916","200.953","200.402","50","616","28","1973.723","830.113","18","1699.617","616.922","9","73.152","12.789"
"16","2026-07-19T07:09:02.3201561+00:00","0.2338","200.988","200.438","50","616","28","1974.109","830.336","18","1699.969","617.109","9","73.152","12.789"
"17","2026-07-19T07:09:03.3231922+00:00","0.1558","200.949","200.398","50","616","28","1966.281","822.938","18","1692.176","609.746","9","73.152","12.789"
"18","2026-07-19T07:09:04.3194448+00:00","1.1763","201.359","200.863","52","620","28","1963.73","820.793","18","1689.219","607.141","9","73.152","12.789"
"19","2026-07-19T07:09:05.3259767+00:00","0.8538","201.305","200.812","52","620","28","1964.078","821.121","18","1689.617","607.516","9","73.152","12.789"
"20","2026-07-19T07:09:06.3140402+00:00","0.3163","201.09","200.555","51","618","28","1964.293","821.297","18","1690.051","607.953","9","73.152","12.789"
"21","2026-07-19T07:09:07.3295758+00:00","1.077","201.309","200.801","52","620","28","1964.93","822.043","18","1690.469","608.453","9","73.152","12.789"
"22","2026-07-19T07:09:08.3162480+00:00","0.0792","200.945","200.375","50","616","28","1964.945","821.996","18","1690.844","608.828","9","73.152","12.789"
"23","2026-07-19T07:09:09.3216255+00:00","0.1554","200.93","200.359","50","616","28","1965.359","822.23","18","1691.273","609.078","9","73.152","12.789"
"24","2026-07-19T07:09:10.3279185+00:00","0.0776","200.934","200.363","50","616","28","1965.82","822.793","18","1691.734","609.641","9","73.152","12.789"
"25","2026-07-19T07:09:11.3167838+00:00","0.237","200.945","200.375","50","616","28","1966.273","823.172","18","1692.176","610.008","9","73.152","12.789"
"26","2026-07-19T07:09:12.3208835+00:00","0.3112","201.098","200.555","51","618","28","1966.855","823.777","18","1692.605","610.434","9","73.152","12.789"
"27","2026-07-19T07:09:13.3161317+00:00","1.099","201.285","200.781","52","620","28","1967.426","824.41","18","1692.988","610.84","9","73.152","12.789"
"28","2026-07-19T07:09:14.3224245+00:00","1.0869","201.34","200.848","53","622","28","1967.918","824.938","18","1693.426","611.301","9","73.152","12.789"
"29","2026-07-19T07:09:15.3230981+00:00","0.1561","201.117","200.574","51","618","28","1968.098","825.164","18","1693.828","611.801","9","73.152","12.789"
"30","2026-07-19T07:09:16.3296038+00:00","0.9314","201.352","200.867","53","622","28","1968.781","825.844","18","1694.266","612.176","9","73.152","12.789"
